,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,NetworkDS;ObjectDS,PatchDS;AmountDS,PointMeasuresDS;EventDS,__actual_total
ObjectDS,56,0,0,0,4,1,0,1,1,0,0,0,0,63
AmountDS,2,1,0,0,1,0,0,0,0,0,0,0,0,4
ExistenceDS,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EventDS,1,0,0,1,1,0,0,0,0,0,0,0,0,3
PatchDS,2,0,1,0,3,0,0,0,1,1,0,0,0,8
LatticeDS,0,0,0,0,0,12,0,0,0,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,0,0,0,4
PointMeasuresDS,0,1,0,0,0,0,0,1,0,0,0,0,0,2
CoverageDS,0,0,0,0,1,0,1,0,4,0,0,0,0,6
NetworkDS,0,1,0,0,0,0,0,0,0,7,0,0,0,8
NetworkDS;ObjectDS,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PatchDS;AmountDS,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PointMeasuresDS;EventDS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
__predicted_total,62,3,1,1,10,13,5,3,7,9,0,0,0,114
