,ObjectDS,AmountDS,ExistenceDS,EventDS,PatchDS,LatticeDS,ContourDS,PointMeasuresDS,CoverageDS,NetworkDS,__actual_total
ObjectDS,55,0,0,1,4,1,0,1,1,0,63
AmountDS,2,0,0,1,1,0,0,0,0,0,4
ExistenceDS,0,0,0,0,1,0,0,0,0,0,1
EventDS,1,0,0,1,1,0,0,0,0,0,3
PatchDS,2,0,0,0,4,0,0,0,3,0,9
LatticeDS,0,0,0,0,0,12,0,0,0,0,12
ContourDS,0,0,0,0,0,0,4,0,0,0,4
PointMeasuresDS,0,1,0,0,0,0,0,2,0,0,3
CoverageDS,0,0,0,0,2,0,0,0,4,0,6
NetworkDS,0,1,0,0,0,0,0,0,0,8,9
__predicted_total,60,2,0,3,13,13,4,3,8,8,114
